battery_power,clock_speed,four_g,int_memory,n_cores,pc,touch_screen,price_range
842,2.2,0,7,2,2,0,1
1021,0.5,1,53,3,6,1,2
563,0.5,1,41,5,6,1,2
615,2.5,0,10,6,9,0,2
1821,1.2,1,44,2,14,1,1
1859,0.5,0,22,1,7,0,1
1821,1.7,1,10,8,10,0,3
1954,0.5,0,24,4,0,1,0
1445,0.5,0,53,7,14,0,0
509,0.6,1,9,5,15,0,0
769,2.9,0,9,5,1,0,3
1520,2.2,1,33,8,18,1,3
1815,2.8,0,33,4,17,0,1
803,2.1,0,17,4,11,0,2
1866,0.5,1,52,1,17,0,0
775,1,0,46,2,16,1,0
838,0.5,1,13,8,4,0,3
595,0.9,1,23,3,17,1,3
1131,0.5,0,49,5,18,1,1
682,0.5,0,19,4,11,1,1
772,1.1,0,39,7,14,1,3
1709,2.1,0,13,2,2,0,3
1949,2.6,0,47,4,7,0,1
1602,2.8,1,38,3,20,0,0
503,1.2,1,8,3,13,0,1
961,1.4,1,57,8,3,1,2
519,1.6,1,51,4,19,0,3
956,0.5,1,41,7,6,1,3
1453,1.6,1,52,2,18,1,2
851,0.5,0,21,5,7,0,0
1579,0.5,0,5,7,9,0,3
1568,0.5,0,33,8,20,1,0
1319,0.9,1,41,1,18,1,1
1310,2.2,1,51,4,0,1,3
644,2.7,0,22,8,3,0,0
725,1.3,0,60,8,17,0,1
589,2.3,0,61,4,10,0,1
1725,1.6,1,6,2,18,1,3
790,2,1,11,6,17,0,2
560,0.5,0,50,2,20,1,2
1347,2.9,0,44,1,14,0,2
1646,2.3,1,41,2,10,1,3
1253,0.5,1,5,2,19,1,1
1656,1,1,34,3,7,1,1
1195,2.8,1,20,2,14,1,0
1514,2.9,0,27,3,1,1,1
1723,1.1,0,42,8,14,0,3
1054,1.8,1,40,7,10,0,1
578,2.6,1,57,8,8,0,0
596,2.1,0,64,8,15,0,3
1547,3,1,14,3,19,0,2
1760,1.4,0,63,8,19,1,2
1654,1.5,1,43,2,0,1,3
